,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
rumbling static crackling noises brief whooping of a siren ,ambience winter train station outdoor quiet distant construction.wav,Synth Wind.wav,AMB_traffic_night_distant_02.wav,5_Navy-Blue-Angels-jets_CLIP.wav,subway train.L.wav,police motorcycle distance to stop.wav,sdaviau2.wav,Ambulence - WARNING LOUD.wav,Class 31 No 31108 at Sutton Cross Halt.wav,Cityscape 02 100208.wav
a person whistles whilst walking among a crowd of people indoors ,20091217.20.pedestrians.wav,jf Resonant Space.wav,horse in woods 130213_00.wav,UoA_PJ120202_HighStAlleyEch.wav,In_a_que01.wav,Ambience outside a series of restaurants.wav,Bar atmosphere - Not So Busy.wav,20110212_mercado.05.wav,times_square.wav,city town Havana afternoon balcony.wav
birds are chirping a babbling brook is running and bees are buzzing ,soundscape forest.wav,Tokyo-cicadas.wav,20060620.ambiance.forest.summer01.wav,Buzzbees.wav,birdsambience.wav,Ambient noise Kauai.wav,Yellow Throated Honeyeater.wav,"Village Square, Kardamyli, Ciccadas and distant chat.wav",Birds_Singing.wav,"Insects in the herbs of the plain, thunders in background.wav"
an electric instrument makes multiple patterned clicking sequences ,cigarette_lighter.wav,Kitchen Timer Ticking Long.wav,Gun Handling.wav,DeLisa Foley clicky robot talk 02.wav,Water drops into a metallic bowl.wav,opening and swallowing pills.wav,Mascara.wav,Pecan nuts cracked open.wav,d0_drips_01.wav,various slap takes.wav
a vehicle is passing by while playing loud music ,DH12_141Tram1.wav,spaceship engine.wav,douche01-def01.wav,20100220.concentration.00.wav,cart machine.wav,scooter_pass-by4.wav,PipeWork.wav,WM_drain_pre_spin_cycle_24_96_mono.wav,Diesel truck and small car.wav,Daaaark.wav
a vehicle's engine hums as it comes to a stop and then it begins to speed up ,Motor bikes passing by.wav,Engine Reving.wav,Diesel truck and small car.wav,WASHER machine 2.wav,Crossroads with traffic lights #1.wav,11_car_radio.wav,graveylargo.wav,CarStart Idle Rev.wav,FP_Diesel_Tractor_Start_Run.wav,arrancada i aturada de la moto.wav
a television set gives off the crackles pops and hisses of static ,Electromagnetic Waves on a Macbook Pro.wav,RainFallsonUmbrellaMcCoy.wav,stereo noise experiment 130820.wav,TrafficAmb.wav,commercial vacuum.wav,Popcorn Foley.wav,Fuse.wav,disquetera3.wav,Mechanical office sharpener.wav,chicago police scanner.wav
a sink is turned on and water flows down the drain ,tub faucet and drain.wav,Water_Falling_Bathtub_Drain.wav,SHOWER.wav,Tap_Water.wav,Sink running-drain.wav,sink1.wav,Shower Turn on - Turn off.wav,Peeing into toilet.wav,bathroomSink1.wav,Tap Water Open.wav
trying to restart a vacuuming machine twice the machine almost starting ,25_MIXER.wav,electric screwdriver_ST.wav,vacuuming upholstery.wav,ModernSewingMachine.wav,Moving Chair On Carpet.wav,Blinds being opened and closed quickly and slowly.wav,Machine.wav,Opening and Closing Curtains - Slow.wav,Bus sound.wav,Stove Full.wav
cars and trucks speed by along a highway including a police car with its siren on ,STREET_AMBULANCE_01.wav,AMB_Ext_Night_Residential_001.wav,traffic_night_street.wav,Ambulence - WARNING LOUD.wav,car coming 1.wav,german motorway or the autobahn.wav,Highway Traffic_1-2.wav,tata_hungary__ady_endre_road_20080718.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,three departures at bus station.wav
a man is talking as seagulls squawk birds chirp and a bell rings ,CFX-20130331-UK-DorsetHarbour09.wav,Ambient noise Kauai.wav,WALKING IN A CAVE.wav,outdoors ambient distant village 2.wav,vendedor_ambulante.wav,Day 10 10th July acclivity Seaside Town Soundscape.wav,AMB_CityPark_Day_Seagull_People.wav,20070424.footsteps.wav,swifts 2.wav,CFX-20130331-UK-DorsetHarbour05.wav
people are waiting for the cars to stop on a busy road to cross ,Highway Traffic_1-2.wav,traffic_night_street.wav,AMB_Ext_Night_Residential_001.wav,german motorway or the autobahn.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",Car Fly by.wav,traffic from inside an apartment.wav,Parada de buses UCA_1.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,tata_hungary__ady_endre_road_20080718.wav
a crowd of people in a space with overlapping conversation ,16 coffee shop ambience.wav,Bar atmosphere - Not So Busy.wav,jf Resonant Space.wav,Busy Dining Room Atmos.wav,Public Place.wav,Cafe 1.wav,Portugese Fish Market.wav,BigCrowdBigHall.wav,In_a_que01.wav,Ambience outside a series of restaurants.wav
continues bell ringing for a long time making low and high pitch ,More Bells.wav,20060729.lid.wav,KMC_Bell_Ring_01.wav,templebell.wav,church bell_ljubljana.wav,mono_bell_0_D_16sec.wav,metal-bowl-long-decay.wav,GobletPing2LHR.wav,Bell Ring.R.wav,THAI GONG3.wav
rain is hitting a roof and its surrounding ,RainFallsThruTinGutterMcCoy.wav,fdv_gouttes_de_pluie.wav,Rain 02 091012.wav,Rain_Patter_01.wav,Rain on Shed.wav,"Rain next to open window, dog barks in the distance.wav","Wind in a tree, close to the foliage.wav",Rain In The City.wav,13_Rain_onGrassStone_Gutter_44_16.wav,20081231.fire.02.wav
water is dripping constantly as a person makes stomps with their feet ,playing chess.wav,Splashing in water.wav,Tortured Apple 02.wav,foley footsteps walking in room indoors.wav,horse in woods 130213_00.wav,light_waterpipes_ambience1.wav,UoA_PJ120202_HighStAlleyEch.wav,20081231.fire.02.wav,Footsteps Water 01.wav,Sink_on_off.wav
water is flowing steadily smoothly and constantly downstream ,Stream Under Rocks.wav,20130825-Water-fountain-Slavonice.wav,Running water 20121021T2335.wav,creekclose.wav,forest stream ambiance.wav,Stream Running Into Pond.wav,131227_strumyk_2.wav,kenrokuen.wav,burton_waterfall_02.wav,Stream trickling with small waterfall close by.wav
a screw being tightened in place until it cant be tightened ,Gun_Being_Loaded.wav,Through Slime.wav,cigarette_lighter.wav,Pecan nuts cracked open.wav,creaky-door-11.wav,door sound.wav,turning door lock.wav,Popcorn Foley.wav,Gun Handling.wav,ouverture-contenair_1.wav
a man speaks a muffled crowd in the background ,Portugese Fish Market.wav,Letter B BINGO in Arlington Heights.wav,02-BikeDemo_Chimes_Speak.wav,Antonio Casquez - Canvis.wav,Guitar Center employees self-recording 24 bit.wav,Outside UU FSW 080701.wav,Amusement Park (Ambience).wav,korea_flohmarkt.wav,elvis_radio_announcer_no_static.wav,gaunermarkt_werbung.wav
a bell is being tapped and chimes slowly ,THAI GONG3.wav,metal-bowl-long-decay.wav,20060729.lid.wav,KMC_Bell_Ring_01.wav,More Bells.wav,mono_bell_0_D_16sec.wav,templebell.wav,Bell Ring.R.wav,church_bell_song.wav,GobletPing2LHR.wav
a person sharpening a knife faster and then slows towards the end ,Gun_Being_Loaded.wav,soda can_pop.wav,Metal coat hanger on steel hook.wav,butter_toast_2x.wav,Mascara.wav,fizzy-drink-can.wav,md3trk14.wav,cigarette_lighter.wav,RKeaton_EMF366_3_Water In Glass Bottle with Metal Cap.wav,Popcorn Foley.wav
bells from a church are ringing outside while cars drive by and birds chirp in the background ,Lisbon&#39;s church.wav,20090419.san.pedro.bells.wav,Carillon Servaas Church 100411.wav,1167church_clock_striking_ten.wav,church bell_ljubljana.wav,20101118.omnium.sanctorum.wav,Inside Servaas Church 01 100411.wav,20060730.bells.wav,MetroTrain.wav,church_bell_song.wav
water is being poured/fetched from a container ,"Water - Leak, small.wav",water dispenser.wav,lavar platos.wav,Draining Kitchen Sink by Fajack.wav,gootsteen.wav,WATER DRIP 2 ECHO LOW PITCH.wav,gully with water drips.wav,Dribbling water Edited.wav,Washing and scrubbing.wav,sink1.wav
a man take a sip of liquid food ,Chewing_Fx.wav,cat food.wav,Splashing in water.wav,Dropping Coins into Water.wav,Water_bubbles_stereo_StereoPiezo_44_24.wav,gotes lent.wav,Filling Teapot.wav,Washing and scrubbing.wav,Drinking Water and refreshing sigh.wav,CFX-20130331-UK-DorsetHarbour05.wav
cars are driving by a busy road outside ,traffic_night_street.wav,AMB_Ext_Night_Residential_001.wav,german motorway or the autobahn.wav,Japan_Yukinoura_Bamboo_Forest_and_Road_.wav,Highway Traffic_1-2.wav,car coming 1.wav,tata_hungary__ady_endre_road_20080718.wav,city_traffic_day.wav,"Sredniy Nikolopeskovsky lane, evening ambiance.wav",Car Fly by.wav
crickets chirping loudly with faint bird chirping in the background ,August night.wav,Cicada_00410.wav,Night in nature 2.wav,greece_naxos_cicadas_6.wav,Crickets Night 2.wav,high park crickets.3.wav,Cicada 1.wav,20060426.marsh.crikets.bee-eaters.stereo.wav,20060804.marshes.cricket02.wav,"Village Square, Kardamyli, Ciccadas and distant chat.wav"
a lawnmower is running loudly then gets slightly softer ,TAMPER_0332.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,reenactment4.wav,engine boat passing by.wav,Morning Ride 7.wav,03199 power generator construction place .wav,arrancada i aturada de la moto.wav,Motor bikes passing by.wav,RomaBenzinaioGas_viaPomonte.wav,RC Helicopter Wind Blowing.wav
water sprays onto an object and runs along the ground in rivulets ,Running water 20121021T2335.wav,Water on tarp 2.wav,Stream trickling with small waterfall close by.wav,WATER SHOWER 001.wav,Water_Falling_Bathtub_Drain.wav,WS RunningWater.wav,Creek Running water.wav,bathroom_water_tap_on_fill_off_drain_24_96_stereo.wav,Tap Water Open.wav,Splashing in water.wav
a person walks to a car opens the door starts the car and drives away while the alarm dings ,Getting Into Car and Driving Away.wav,night_station.wav,dumpster truck.wav,elevator 001.wav,London Bus.wav,Footsteps on Wood floor 1.wav,20091226.squeaky.door.wav,LR FRONT_INT CAR DOOR SHUT MVT cricket eve.wav,steps in the station.wav,Elevator Arrives.wav
some plastic cases being opened and snapped off from it ,bread_in_toaster.wav,Paper_Tear_Fx.wav,fliping paper.wav,Glass crushed 1.wav,coffee Elite opening.wav,pepper grinder.wav,different variations of taring material.wav,Gun Handling.wav,Mascara.wav,Pills .wav
someone unlocks a car goes through its door and adjusts its controls ,night_station.wav,LR FRONT_INT CAR DOOR SHUT MVT cricket eve.wav,Getting Into Car and Driving Away.wav,windscreen wipers light rain.wav,closingmyfrondoor.wav,20091226.soft.door.wav,dumpster truck.wav,London Bus.wav,Microwave1.wav,ouverture-contenair_1.wav
someone is making crackling sounds that repeat at intervals ,opening and swallowing pills.wav,Through Slime.wav,coffee Elite opening.wav,Pecan nuts cracked open.wav,trolley wheels foley-mg.wav,Popcorn Foley.wav,Bats in East Finchley.wav,kettle-watergong2.wav,Fire crackling.wav,AlexandreJourdan_2013_s2.wav
people are talking in the background while someone is walking making a noise ,20091217.20.pedestrians.wav,UoA_Kcq_voices2_120224.wav,maastricht town sounds.wav,Outside Library.wav,SR005F.wav,Outside UU FSW 080701.wav,noise pollution in a city park.wav,Covent_Garden_rain_5.wav,Joggers .wav,Quiet Chat.wav
knife cutting on top of a wooden board ,DVD Cases.wav,Chopping mushrooms vigorously.wav,Metal coat hanger on steel hook.wav,Mascara.wav,Twist Off Bottle Cap.wav,Ball bouncing.wav,Gun Cleaning.wav,Chopping of vegetables and fruit - knife on cutting board.wav,butter_toast_2x.wav,Setting Class on Table_02-01.wav
an acoustic guitar is being strummed persistently at the same pace ,novasound7100.wav,WineGlass.wav,graveylargo.wav,Morning Ride 7.wav,BERBER _SONG.wav,Chains Being Rolled Up.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,Gas Door.wav,014_House_Fan.wav,Popcorn Foley.wav
the wind is hollowing inside a long empty tube ,volcanoeruption.wav,thunder wind 02.wav,Mouth Wind Howling.wav,Synth Wind.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,jetengines.wav,rutting deer 2.wav,thunder002.wav,Synthetic rumble with rising tone.wav,synthwind.wav
a number of wind chimes are blowing in the wind hitting upon themselves ,copper-chimes.wav,Windchimes + Neighborhood Mutt.wav,metallic_crackle.wav,cowbells1.wav,1_ambiente inicio.wav,THAI GONG3.wav,Bell Ring.R.wav,20060729.lid.wav,templebell.wav,metal-bowl-long-decay.wav
a couple of different kinds of birds are chirping at different volume levels ,Birds_Singing.wav,20070628.casual.ambiance.wav,Budgies Chirping 2.wav,birdies.wav,20110423_distant.cuckoo.wav,Sk310308 chaffinch crow.wav,tropicbird2.wav,AMB_CityPark_Day_Seagull_People.wav,20080321.warbler.n.dogs.wav,In an English Suburban Garden.wav
a metal object is being pounded on several times to make music ,clunks_in_water.wav,BERBER _SONG.wav,THAI GONG3.wav,kettle-watergong3.wav,abandoned-ballroom-objects-wood-metal.wav,safe deposit box lock-unlock.wav,kettle-watergong2.wav,clang_metal_(hit).wav,contact_mic_on_satellite_dish09.wav,20061111Band.wav
static is being emitted with intermittent strength with various beeping occurring ,Electromagnetic Waves on a Macbook Pro.wav,03480 static white noise.wav,bitmapnoise3.wav,RainFallsonUmbrellaMcCoy.wav,disquetera3.wav,md1trk18.wav,chicago police scanner.wav,TrafficAmb.wav,TONE pink noise  44.1 16bit.wav,sdaviau2.wav
an object is repeatedly bouncing off of a metal surface ,clunks_in_water.wav,clang_metal_(hit).wav,Gas Door.wav,kettle-watergong3.wav,safe deposit box lock-unlock.wav,DeLisa Foley clicky robot talk 02.wav,contact_mic_on_satellite_dish09.wav,water jugs.wav,abandoned-ballroom-objects-wood-metal.wav,Hammering_Empty tank_large_CLOSE.wav
birds are whistling while crickets are chirping a snake rustles in the grass ,Tokyo-cicadas.wav,"Insects in the herbs of the plain, thunders in background.wav",Night in nature 2.wav,20060620.ambiance.forest.summer01.wav,greece_naxos_cicadas_6.wav,20060426.marsh.crikets.bee-eaters.stereo.wav,August night.wav,Vieques night soundscape 10-10-10.wav,Ambient noise Kauai.wav,birdies.wav
birds chirp and sing while something rattles and vibrates loudly ,Birds over Brooklyn.wav,birdsambience.wav,20080321.warbler.n.dogs.wav,20060607.bird.gone.nuts.wav,Amphitheatre Birds Wav.wav,birdies.wav,Ambient noise Kauai.wav,sparrows_berlin.wav,"Insects in the herbs of the plain, thunders in background.wav",004-Ambient Recording at Saint-Augustin (FR 7pm in October).wav
a train whistles slowly and then loudly as time goes on ,Train Passing Grade Crossing.wav,train_coming_in.wav,ShortTrain.wav,HarzTrain.wav,Metropassingclose(L-R).wav,kamakura_train.wav,23_train_jallandhar.wav,ship horn.wav,TREIN3.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav"
water is flowing on tap and washing is also have in there ,Tap_Water.wav,Splashing in water.wav,"Running Water, various pressure.wav",sink1.wav,Sink_on_off.wav,water_sink.wav,Shower Turn on - Turn off.wav,Peeing into toilet.wav,bathroomSink1.wav,SHOWER.wav
a person walks through dried leaves while the wind whistles and howls ,footsteps in woods.wav,3 persons walking slowly on grass noisy ambient 2.wav,20060510.walk.scrub.wav,gravel walking.wav,HandsOnConcreteWithDirt.wav,footsteps_pebble_each_01.wav,HeavySkirtMovement.wav,Cotton Flapping.wav,Talll Grass Hits 2.wav,Footsteps on Crunchy Snow.wav
drum beats keep time and change in tone ,20061111Band.wav,dub1.wav,BERBER _SONG.wav,Caporales.wav,THAI GONG3.wav,kettle-watergong2.wav,window rapping.wav,novasound7100.wav,Door pounding - increasing intensity.wav,abandoned-ballroom-objects-wood-metal.wav
a person walks over gravel at a steady and calm pace ,20060129.scrub.04.wav,footsteps in woods.wav,Footsteps on Slushy Cement.wav,Footsteps on Crunchy Snow.wav,20060510.walk.scrub.wav,footsteps_pebble_each_01.wav,Cotton Flapping.wav,footsteps-gravel-birds.wav,gravel walking.wav,walking 1.wav
cars pass by growing louder as they get near while a child speaks ,bike race 05.wav,tedeschi.wav,platform.wav,BangkokMarket.wav,Next To School in Street Ambience.wav,noise pollution in a city park.wav,city park Tel Aviv.wav,firenze_kids_churchyard.wav,Omni_Ambiental_ParkingLot.wav,indoors house ambient living room tone distant neighbours and traffic.wav
someone used a shovel to push snow dirt or sand along the ground ,footsteps_pebble_each_01.wav,Brushing Hair.wav,Talll Grass Hits 2.wav,Melon Stabs (Juicy).wav,Footsteps on Crunchy Snow.wav,Chopping of vegetables and fruit - knife on cutting board.wav,Zipper sounds.wav,24 hn_footstepsSneakerConcreteSnow.wav,HandsOnConcreteWithDirt.wav,Skateboard rolling down concrete ramp.wav
many birds are screaming together in one place ,birdies.wav,20080321.warbler.n.dogs.wav,Budgies Chirping 2.wav,20070628.casual.ambiance.wav,AMB_CityPark_Day_Seagull_People.wav,Sk310308 chaffinch crow.wav,20110423_distant.cuckoo.wav,Birds over Brooklyn.wav,Birds_Singing.wav,Vieques night soundscape 10-10-10.wav
cattle moo and sheep make baa sounds in a meadow as birds fly overhead and sit in trees ,sheep calling her baby lambs.wav,20080302.sheeps.close.wav,Sheep bleating.wav,outdoors ambient distant village 2.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,Ambient noise Kauai.wav,grilla_garden_ambience.wav,beautiful voiced flock of sheep.wav,Day 10 10th July acclivity Seaside Town Soundscape.wav,AMB_CityPark_Day_Seagull_People.wav
the wind whips as an airplane flies by in the distance ,spaced.wav,thunder wind 02.wav,Ambience of the battle field2.wav,Synth Wind.wav,airliner_ascend.wav,Underground Parking Ambience.wav,Darkness Of the mind.wav,volcanoeruption.wav,5_Navy-Blue-Angels-jets_CLIP.wav,Tornado Left To  Right.wav
the motor gets louder then quieter has a piece of paper flutters by ,Sewing_machine_OWI.wav,arrancada i aturada de la moto.wav,Motor bikes passing by.wav,ModernSewingMachine.wav,fliping paper.wav,RC Helicopter Wind Blowing.wav,Mechanical office sharpener.wav,Closing automatic garage door.wav,WASHER machine 2.wav,11_car_radio.wav
